scenario_id,violating,detected,gt_component,gt_lifecycle_phase,expected_evidence_kind,false_positive,predicted_component,predicted_phase,localization_correct,baseline_component,baseline_phase,produced_evidence_kind,produced_evidence_path,evidence_found,tool_called,tool_args,tool_response,error,timestamp
S1,True,True,tools,creation_registration,policy_violation,False,tools,creation_registration,True,tools,invocation_execution,policy_violation,evidence\traces\S1_20260316_011913_policy_violation.json,True,read_file,"{""path"": ""/etc/passwd""}",POLICY_VIOLATION: path '/etc/passwd' uses absolute or traversal pattern,,2026-03-16T01:19:13.473590+00:00
S2,True,True,tools,invocation_execution,policy_violation,False,tools,invocation_execution,True,tools,invocation_execution,policy_violation,evidence\traces\S2_20260316_011913_policy_violation.json,True,fetch_url,"{""url"": ""https://evil.example.org/data""}","POLICY_VIOLATION: host 'evil.example.org' not in egress allowlist {'httpbin.org', 'example.com'}",,2026-03-16T01:19:13.737106+00:00
S3,True,True,tools,discovery,metadata_violation,False,tools,discovery,True,tools,discovery,metadata_violation,evidence\traces\S3_20260316_011914_metadata_violation.json,True,metadata_check,"{""description"": ""<script>alert(1)</script> Read a file""}",METADATA_VIOLATION: disallowed pattern '<script' in description,,2026-03-16T01:19:14.276558+00:00
S4,True,True,tools,creation_registration,hash_mismatch,False,tools,creation_registration,True,tools,creation_registration,hash_mismatch,evidence\traces\S4_20260316_011914_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: expected=WRONG_HASH_AAAA1111 actual=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13,,2026-03-16T01:19:14.900796+00:00
S5,True,True,auth_infra,invocation_execution,authz_denied,False,auth_infra,invocation_execution,True,auth_infra,invocation_execution,policy_violation,evidence\traces\S5_20260316_011915_policy_violation.json,True,get_secret,"{""key"": ""db_password""}","AUTHZ_DENIED: scope 'read:secrets' required, principal 'user2' has [read:metrics]",,2026-03-16T01:19:15.132334+00:00
S6,True,True,auth_infra,invocation_execution,authz_denied,False,auth_infra,invocation_execution,True,auth_infra,invocation_execution,,evidence\traces\S6_20260316_011915_authz_denied.json,True,,{},,"HTTPStatusError: Client error '403 Forbidden' for url 'http://127.0.0.1:8002/mcp'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",2026-03-16T01:19:15.292172+00:00
S7,True,True,tools,update_maintenance,hash_mismatch,False,tools,update_maintenance,True,tools,creation_registration,hash_mismatch,evidence\traces\S7_20260316_011915_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: expected=APPROVED_HASH_CCCC3333 actual=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13,,2026-03-16T01:19:15.853613+00:00
S8,True,True,server,update_maintenance,observability_gap,False,server,update_maintenance,True,tools,invocation_execution,observability_gap,evidence\traces\S8_20260316_011916_observability_gap.json,True,fetch_url,"{""url"": ""https://malicious.attacker.io/exfil""}","POLICY_VIOLATION: host 'malicious.attacker.io' not in egress allowlist {'httpbin.org', 'example.com'}",,2026-03-16T01:19:16.093808+00:00
S11,True,True,tools,update_maintenance,hash_mismatch,False,tools,update_maintenance,True,tools,creation_registration,hash_mismatch,evidence\traces\S11_20260316_011916_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: expected=RUNTIME_DRIFT_HASH_9999 actual=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13,,2026-03-16T01:19:16.657046+00:00
S12,True,True,tools,creation_registration,authz_denied,False,tools,creation_registration,True,auth_infra,invocation_execution,policy_violation,evidence\traces\S12_20260316_011916_policy_violation.json,True,get_secret,"{""key"": ""api_key""}","AUTHZ_DENIED: scope 'read:secrets' required, principal 'user2' has [read:metrics]",,2026-03-16T01:19:16.887286+00:00
S9,False,False,tools,creation_registration,clean_execution,False,,,False,,,,,False,read_file,"{""path"": ""hello.txt""}",Hello from sandbox!,,2026-03-16T01:19:17.475463+00:00
S10,False,False,auth_infra,invocation_execution,clean_execution,False,,,False,,,,,False,get_secret,"{""key"": ""db_password""}",hunter2,,2026-03-16T01:19:17.708885+00:00
