scenario_id,violating,detected,gt_component,gt_lifecycle_phase,expected_evidence_kind,false_positive,predicted_component,predicted_phase,localization_correct,baseline_component,baseline_phase,produced_evidence_kind,produced_evidence_path,evidence_found,tool_called,tool_args,tool_response,error,timestamp
S1,True,True,tools,creation_registration,policy_violation,False,tools,creation_registration,True,tools,invocation_execution,policy_violation,evidence\traces\S1_20260607_140016_policy_violation.json,True,read_file,"{""path"": ""/etc/passwd""}",POLICY_VIOLATION: path '/etc/passwd' uses absolute or traversal pattern (origin=scope_config),,2026-06-07T14:00:16.138336+00:00
S2,True,True,tools,invocation_execution,policy_violation,False,tools,invocation_execution,True,tools,invocation_execution,policy_violation,evidence\traces\S2_20260607_140016_policy_violation.json,True,fetch_url,"{""url"": ""https://evil.example.org/data""}","POLICY_VIOLATION: host 'evil.example.org' not in egress allowlist {'example.com', 'httpbin.org'} (origin=egress)",,2026-06-07T14:00:16.265138+00:00
S3,True,True,tools,discovery,metadata_violation,False,tools,discovery,True,tools,discovery,metadata_violation,evidence\traces\S3_20260607_140016_metadata_violation.json,True,metadata_check,"{""description"": ""<script>alert(1)</script> Read a file""}",METADATA_VIOLATION: disallowed pattern '<script' in description,,2026-06-07T14:00:16.809072+00:00
S4,True,True,tools,creation_registration,hash_mismatch,False,tools,creation_registration,True,tools,creation_registration,hash_mismatch,evidence\traces\S4_20260607_140017_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: current=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13 reference=WRONG_HASH_AAAA1111 mode=admission,,2026-06-07T14:00:17.369693+00:00
S5,True,True,auth_infra,invocation_execution,authz_denied,False,auth_infra,invocation_execution,True,auth_infra,invocation_execution,policy_violation,evidence\traces\S5_20260607_140017_policy_violation.json,True,get_secret,"{""key"": ""db_password""}","{""error"": ""AUTHZ_DENIED"", ""tool"": ""get_secret"", ""required_scope"": ""read:secrets"", ""granted_scope"": [""read:metrics""], ""tool_scope_overbroad"": false, ""principal"": ""user2""}",,2026-06-07T14:00:17.477401+00:00
S6,True,True,auth_infra,invocation_execution,authz_denied,False,auth_infra,invocation_execution,True,auth_infra,invocation_execution,,evidence\traces\S6_20260607_140017_authz_denied.json,True,,{},,"HTTPStatusError: Client error '403 Forbidden' for url 'http://127.0.0.1:8002/mcp'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/403",2026-06-07T14:00:17.498262+00:00
S7,True,True,tools,update_maintenance,hash_mismatch,False,tools,update_maintenance,True,tools,creation_registration,hash_mismatch,evidence\traces\S7_20260607_140018_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: current=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13 reference=APPROVED_HASH_CCCC3333 mode=baseline,,2026-06-07T14:00:18.018012+00:00
S8,True,True,server,update_maintenance,observability_gap,False,server,update_maintenance,True,tools,invocation_execution,observability_gap,evidence\traces\S8_20260607_140018_observability_gap.json,True,fetch_url,"{""url"": ""https://malicious.attacker.io/exfil""}","POLICY_VIOLATION: host 'malicious.attacker.io' not in egress allowlist {'httpbin.org', 'example.com'} (origin=egress)",,2026-06-07T14:00:18.098324+00:00
S11,True,True,tools,update_maintenance,hash_mismatch,False,tools,update_maintenance,True,tools,creation_registration,hash_mismatch,evidence\traces\S11_20260607_140018_hash_mismatch.json,True,integrity_check,"{""resource_uri"": ""tool-integrity://hash""}",HASH_MISMATCH: current=fa4d278b3ccee4343fb2e2ed481a932e0a00114cef58d13a8439c046edf7234d reference=b36370a474ddd8d7c8d2304d41e4f33720c42db8a7b8ba0849655fe1f7479f13 mode=runtime,,2026-06-07T14:00:18.657294+00:00
S12,True,True,tools,creation_registration,authz_denied,False,tools,creation_registration,True,auth_infra,invocation_execution,policy_violation,evidence\traces\S12_20260607_140018_policy_violation.json,True,read_metric,"{""name"": ""request_latency""}","{""error"": ""AUTHZ_DENIED"", ""tool"": ""read_metric"", ""required_scope"": ""read:secrets"", ""granted_scope"": [""read:metrics""], ""tool_scope_overbroad"": true, ""principal"": ""user2""}",,2026-06-07T14:00:18.752179+00:00
S9,False,False,tools,creation_registration,clean_execution,False,,,False,,,,,False,read_file,"{""path"": ""hello.txt""}",Hello from sandbox!,,2026-06-07T14:00:19.282138+00:00
S10,False,False,auth_infra,invocation_execution,clean_execution,False,,,False,,,,,False,get_secret,"{""key"": ""db_password""}",hunter2,,2026-06-07T14:00:19.376534+00:00
